PA14,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6656.peg.13,fig|287.6613.peg.12,fig|287.6611.peg.12,fig|287.6614.peg.12,fig|287.6616.peg.12,fig|287.6612.peg.13,fig|287.6618.peg.12,fig|287.6615.peg.19,fig|287.6617.peg.12,fig|287.6621.peg.12,fig|287.6619.peg.12,fig|287.6622.peg.13,fig|287.6623.peg.13,fig|287.6624.peg.12,fig|287.6625.peg.12,fig|287.6657.peg.12,fig|287.6655.peg.12,fig|287.6631.peg.17,fig|287.6628.peg.20,fig|287.6632.peg.12,fig|287.6629.peg.17,fig|287.6635.peg.12,fig|287.6633.peg.12,fig|287.6634.peg.12,fig|287.6637.peg.12,fig|287.6636.peg.12,fig|287.6620.peg.12,fig|287.6630.peg.12,fig|287.6639.peg.12,fig|287.6638.peg.18,fig|287.6627.peg.12
fig|287.6656.peg.14,fig|287.6613.peg.13,fig|287.6611.peg.13,fig|287.6614.peg.13,fig|287.6616.peg.13,fig|287.6612.peg.14,fig|287.6618.peg.13,fig|287.6615.peg.20,fig|287.6617.peg.13,fig|287.6621.peg.13,fig|287.6619.peg.13,fig|287.6622.peg.14,fig|287.6623.peg.14,fig|287.6624.peg.13,fig|287.6625.peg.13,fig|287.6657.peg.13,fig|287.6655.peg.13,fig|287.6631.peg.18,fig|287.6628.peg.21,fig|287.6632.peg.13,fig|287.6629.peg.18,fig|287.6635.peg.13,fig|287.6633.peg.13,fig|287.6634.peg.13,fig|287.6637.peg.13,fig|287.6636.peg.13,fig|287.6620.peg.13,fig|287.6630.peg.13,fig|287.6639.peg.13,fig|287.6638.peg.19,fig|287.6627.peg.13
fig|287.6656.peg.15,fig|287.6613.peg.14,fig|287.6611.peg.14,fig|287.6614.peg.14,fig|287.6616.peg.14,fig|287.6612.peg.15,fig|287.6618.peg.14,fig|287.6615.peg.21,fig|287.6617.peg.14,fig|287.6621.peg.14,fig|287.6619.peg.14,fig|287.6622.peg.15,fig|287.6623.peg.15,fig|287.6624.peg.14,fig|287.6625.peg.14,fig|287.6657.peg.14,fig|287.6655.peg.14,fig|287.6631.peg.19,fig|287.6628.peg.22,fig|287.6632.peg.14,fig|287.6629.peg.19,fig|287.6635.peg.14,fig|287.6633.peg.14,fig|287.6634.peg.14,fig|287.6637.peg.14,fig|287.6636.peg.14,fig|287.6620.peg.14,fig|287.6630.peg.14,fig|287.6639.peg.14,fig|287.6638.peg.20,fig|287.6627.peg.14
fig|287.6656.peg.16,fig|287.6613.peg.15,fig|287.6611.peg.15,fig|287.6614.peg.15,fig|287.6616.peg.15,fig|287.6612.peg.16,fig|287.6618.peg.15,fig|287.6615.peg.22,fig|287.6617.peg.15,fig|287.6621.peg.15,fig|287.6619.peg.15,fig|287.6622.peg.16,fig|287.6623.peg.16,fig|287.6624.peg.15,fig|287.6625.peg.15,fig|287.6657.peg.15,fig|287.6655.peg.15,fig|287.6631.peg.20,fig|287.6628.peg.23,fig|287.6632.peg.15,fig|287.6629.peg.20,fig|287.6635.peg.15,fig|287.6633.peg.15,fig|287.6634.peg.15,fig|287.6637.peg.15,fig|287.6636.peg.15,fig|287.6620.peg.15,fig|287.6630.peg.15,fig|287.6639.peg.15,fig|287.6638.peg.21,fig|287.6627.peg.15
fig|287.6656.peg.17,fig|287.6613.peg.16,fig|287.6611.peg.16,fig|287.6614.peg.16,fig|287.6616.peg.16,fig|287.6612.peg.17,fig|287.6618.peg.16,fig|287.6615.peg.23,fig|287.6617.peg.16,fig|287.6621.peg.16,fig|287.6619.peg.16,fig|287.6622.peg.17,fig|287.6623.peg.17,fig|287.6624.peg.16,fig|287.6625.peg.16,fig|287.6657.peg.17,fig|287.6655.peg.16,fig|287.6631.peg.21,fig|287.6628.peg.24,fig|287.6632.peg.16,fig|287.6629.peg.21,fig|287.6635.peg.16,fig|287.6633.peg.16,fig|287.6634.peg.16,fig|287.6637.peg.16,fig|287.6636.peg.16,fig|287.6620.peg.16,fig|287.6630.peg.16,fig|287.6639.peg.16,fig|287.6638.peg.22,fig|287.6627.peg.16
fig|287.6656.peg.18,fig|287.6613.peg.17,fig|287.6611.peg.17,fig|287.6614.peg.17,fig|287.6616.peg.17,fig|287.6612.peg.18,fig|287.6618.peg.17,fig|287.6615.peg.24,fig|287.6617.peg.17,fig|287.6621.peg.17,fig|287.6619.peg.17,fig|287.6622.peg.18,fig|287.6623.peg.18,fig|287.6624.peg.17,fig|287.6625.peg.17,fig|287.6657.peg.18,fig|287.6655.peg.17,fig|287.6631.peg.22,fig|287.6628.peg.25,fig|287.6632.peg.17,fig|287.6629.peg.22,fig|287.6635.peg.17,fig|287.6633.peg.17,fig|287.6634.peg.17,fig|287.6637.peg.17,fig|287.6636.peg.17,fig|287.6620.peg.17,fig|287.6630.peg.17,fig|287.6639.peg.17,fig|287.6638.peg.23,fig|287.6627.peg.17
fig|287.6656.peg.19,fig|287.6613.peg.18,fig|287.6611.peg.18,fig|287.6614.peg.18,fig|287.6616.peg.18,fig|287.6612.peg.19,fig|287.6618.peg.18,fig|287.6615.peg.25,fig|287.6617.peg.18,fig|287.6621.peg.18,fig|287.6619.peg.18,fig|287.6622.peg.19,fig|287.6623.peg.19,fig|287.6624.peg.18,fig|287.6625.peg.18,fig|287.6657.peg.19,fig|287.6655.peg.18,fig|287.6631.peg.23,fig|287.6628.peg.26,fig|287.6632.peg.18,fig|287.6629.peg.23,fig|287.6635.peg.18,fig|287.6633.peg.18,fig|287.6634.peg.18,fig|287.6637.peg.18,fig|287.6636.peg.18,fig|287.6620.peg.18,fig|287.6630.peg.18,fig|287.6639.peg.18,fig|287.6638.peg.24,fig|287.6627.peg.18
fig|287.6656.peg.20,fig|287.6613.peg.19,fig|287.6611.peg.19,fig|287.6614.peg.19,fig|287.6616.peg.19,fig|287.6612.peg.20,fig|287.6618.peg.19,fig|287.6615.peg.26,fig|287.6617.peg.19,fig|287.6621.peg.19,fig|287.6619.peg.19,fig|287.6622.peg.20,fig|287.6623.peg.20,fig|287.6624.peg.19,fig|287.6625.peg.19,fig|287.6657.peg.20,fig|287.6655.peg.19,fig|287.6631.peg.24,fig|287.6628.peg.27,fig|287.6632.peg.19,fig|287.6629.peg.24,fig|287.6635.peg.19,fig|287.6633.peg.19,fig|287.6634.peg.19,fig|287.6637.peg.19,fig|287.6636.peg.19,fig|287.6620.peg.19,fig|287.6630.peg.19,fig|287.6639.peg.19,fig|287.6638.peg.25,fig|287.6627.peg.19
fig|287.6656.peg.21,fig|287.6613.peg.20,fig|287.6611.peg.20,fig|287.6614.peg.20,fig|287.6616.peg.20,fig|287.6612.peg.21,fig|287.6618.peg.20,fig|287.6615.peg.27,fig|287.6617.peg.20,fig|287.6621.peg.20,fig|287.6619.peg.20,fig|287.6622.peg.21,fig|287.6623.peg.21,fig|287.6624.peg.20,fig|287.6625.peg.20,fig|287.6657.peg.21,fig|287.6655.peg.20,fig|287.6631.peg.25,fig|287.6628.peg.28,fig|287.6632.peg.20,fig|287.6629.peg.25,fig|287.6635.peg.20,fig|287.6633.peg.20,fig|287.6634.peg.20,fig|287.6637.peg.20,fig|287.6636.peg.20,fig|287.6620.peg.20,fig|287.6630.peg.20,fig|287.6639.peg.20,fig|287.6638.peg.26,fig|287.6627.peg.20
fig|287.6656.peg.22,fig|287.6613.peg.21,fig|287.6611.peg.21,fig|287.6614.peg.21,fig|287.6616.peg.21,fig|287.6612.peg.22,fig|287.6618.peg.21,fig|287.6615.peg.28,fig|287.6617.peg.21,fig|287.6621.peg.21,fig|287.6619.peg.21,fig|287.6622.peg.22,fig|287.6623.peg.22,fig|287.6624.peg.21,fig|287.6625.peg.21,fig|287.6657.peg.22,fig|287.6655.peg.21,fig|287.6631.peg.26,fig|287.6628.peg.29,fig|287.6632.peg.21,fig|287.6629.peg.26,fig|287.6635.peg.21,fig|287.6633.peg.21,fig|287.6634.peg.21,fig|287.6637.peg.21,fig|287.6636.peg.21,fig|287.6620.peg.21,fig|287.6630.peg.21,fig|287.6639.peg.21,fig|287.6638.peg.27,fig|287.6627.peg.21
fig|287.6656.peg.23,fig|287.6613.peg.22,fig|287.6611.peg.22,fig|287.6614.peg.22,fig|287.6616.peg.22,fig|287.6612.peg.23,fig|287.6618.peg.22,fig|287.6615.peg.29,fig|287.6617.peg.22,fig|287.6621.peg.22,fig|287.6619.peg.22,fig|287.6622.peg.23,fig|287.6623.peg.23,fig|287.6624.peg.22,fig|287.6625.peg.22,fig|287.6657.peg.23,fig|287.6655.peg.22,fig|287.6631.peg.27,fig|287.6628.peg.30,fig|287.6632.peg.22,fig|287.6629.peg.27,fig|287.6635.peg.22,fig|287.6633.peg.22,fig|287.6634.peg.22,fig|287.6637.peg.22,fig|287.6636.peg.22,fig|287.6620.peg.22,fig|287.6630.peg.22,fig|287.6639.peg.22,fig|287.6638.peg.28,fig|287.6627.peg.22
fig|287.6656.peg.24,fig|287.6613.peg.23,fig|287.6611.peg.23,fig|287.6614.peg.23,fig|287.6616.peg.23,fig|287.6612.peg.24,fig|287.6618.peg.23,fig|287.6615.peg.30,fig|287.6617.peg.23,fig|287.6621.peg.23,fig|287.6619.peg.23,fig|287.6622.peg.24,fig|287.6623.peg.24,fig|287.6624.peg.23,fig|287.6625.peg.23,fig|287.6657.peg.24,fig|287.6655.peg.23,fig|287.6631.peg.28,fig|287.6628.peg.31,fig|287.6632.peg.23,fig|287.6629.peg.28,fig|287.6635.peg.23,fig|287.6633.peg.23,fig|287.6634.peg.23,fig|287.6637.peg.23,fig|287.6636.peg.23,fig|287.6620.peg.23,fig|287.6630.peg.23,fig|287.6639.peg.23,fig|287.6638.peg.29,fig|287.6627.peg.23
fig|287.6656.peg.25,fig|287.6613.peg.24,fig|287.6611.peg.24,fig|287.6614.peg.24,fig|287.6616.peg.24,fig|287.6612.peg.25,fig|287.6618.peg.24,fig|287.6615.peg.31,fig|287.6617.peg.24,fig|287.6621.peg.24,fig|287.6619.peg.24,fig|287.6622.peg.25,fig|287.6623.peg.25,fig|287.6624.peg.24,fig|287.6625.peg.24,fig|287.6657.peg.25,fig|287.6655.peg.24,fig|287.6631.peg.29,fig|287.6628.peg.32,fig|287.6632.peg.24,fig|287.6629.peg.29,fig|287.6635.peg.24,fig|287.6633.peg.24,fig|287.6634.peg.24,fig|287.6637.peg.24,fig|287.6636.peg.24,fig|287.6620.peg.24,fig|287.6630.peg.24,fig|287.6639.peg.24,fig|287.6638.peg.30,fig|287.6627.peg.24
fig|287.6656.peg.26,fig|287.6613.peg.25,fig|287.6611.peg.25,fig|287.6614.peg.25,fig|287.6616.peg.25,fig|287.6612.peg.26,fig|287.6618.peg.25,fig|287.6615.peg.32,fig|287.6617.peg.25,fig|287.6621.peg.25,fig|287.6619.peg.25,fig|287.6622.peg.26,fig|287.6623.peg.26,fig|287.6624.peg.25,fig|287.6625.peg.25,fig|287.6657.peg.26,fig|287.6655.peg.25,fig|287.6631.peg.30,fig|287.6628.peg.33,fig|287.6632.peg.25,fig|287.6629.peg.30,fig|287.6635.peg.25,fig|287.6633.peg.25,fig|287.6634.peg.25,fig|287.6637.peg.25,fig|287.6636.peg.25,fig|287.6620.peg.25,fig|287.6630.peg.25,fig|287.6639.peg.25,fig|287.6638.peg.31,fig|287.6627.peg.25
fig|287.6656.peg.27,fig|287.6613.peg.26,fig|287.6611.peg.26,fig|287.6614.peg.26,fig|287.6616.peg.26,fig|287.6612.peg.27,fig|287.6618.peg.26,fig|287.6615.peg.33,fig|287.6617.peg.26,fig|287.6621.peg.26,fig|287.6619.peg.26,fig|287.6622.peg.27,fig|287.6623.peg.27,fig|287.6624.peg.26,fig|287.6625.peg.26,fig|287.6657.peg.27,fig|287.6655.peg.26,fig|287.6631.peg.31,fig|287.6628.peg.34,fig|287.6632.peg.26,fig|287.6629.peg.31,fig|287.6635.peg.26,fig|287.6633.peg.26,fig|287.6634.peg.26,fig|287.6637.peg.26,fig|287.6636.peg.26,fig|287.6620.peg.26,fig|287.6630.peg.26,fig|287.6639.peg.26,fig|287.6638.peg.32,fig|287.6627.peg.26
fig|287.6656.peg.28,fig|287.6613.peg.27,fig|287.6611.peg.27,fig|287.6614.peg.27,fig|287.6616.peg.27,fig|287.6612.peg.28,fig|287.6618.peg.27,fig|287.6615.peg.34,fig|287.6617.peg.27,fig|287.6621.peg.27,fig|287.6619.peg.27,fig|287.6622.peg.28,fig|287.6623.peg.28,fig|287.6624.peg.27,fig|287.6625.peg.27,fig|287.6657.peg.28,fig|287.6655.peg.27,fig|287.6631.peg.32,fig|287.6628.peg.35,fig|287.6632.peg.27,fig|287.6629.peg.32,fig|287.6635.peg.27,fig|287.6633.peg.27,fig|287.6634.peg.27,fig|287.6637.peg.27,fig|287.6636.peg.27,fig|287.6620.peg.27,fig|287.6630.peg.27,fig|287.6639.peg.27,fig|287.6638.peg.33,fig|287.6627.peg.27
fig|287.6656.peg.29,fig|287.6613.peg.28,fig|287.6611.peg.28,fig|287.6614.peg.28,fig|287.6616.peg.28,fig|287.6612.peg.29,fig|287.6618.peg.28,fig|287.6615.peg.35,fig|287.6617.peg.28,fig|287.6621.peg.28,fig|287.6619.peg.28,fig|287.6622.peg.29,fig|287.6623.peg.29,fig|287.6624.peg.28,fig|287.6625.peg.28,fig|287.6657.peg.29,fig|287.6655.peg.28,fig|287.6631.peg.33,fig|287.6628.peg.36,fig|287.6632.peg.28,fig|287.6629.peg.33,fig|287.6635.peg.28,fig|287.6633.peg.28,fig|287.6634.peg.28,fig|287.6637.peg.28,fig|287.6636.peg.28,fig|287.6620.peg.28,fig|287.6630.peg.28,fig|287.6639.peg.28,fig|287.6638.peg.34,fig|287.6627.peg.28
fig|287.6656.peg.30,fig|287.6613.peg.29,fig|287.6611.peg.29,fig|287.6614.peg.29,fig|287.6616.peg.29,fig|287.6612.peg.30,fig|287.6618.peg.29,fig|287.6615.peg.36,fig|287.6617.peg.29,fig|287.6621.peg.29,fig|287.6619.peg.29,fig|287.6622.peg.30,fig|287.6623.peg.30,fig|287.6624.peg.29,fig|287.6625.peg.29,fig|287.6657.peg.30,fig|287.6655.peg.29,fig|287.6631.peg.34,fig|287.6628.peg.37,fig|287.6632.peg.29,fig|287.6629.peg.34,fig|287.6635.peg.29,fig|287.6633.peg.29,fig|287.6634.peg.29,fig|287.6637.peg.29,fig|287.6636.peg.29,fig|287.6620.peg.29,fig|287.6630.peg.29,fig|287.6639.peg.29,fig|287.6638.peg.35,fig|287.6627.peg.29
fig|287.6656.peg.31,fig|287.6613.peg.30,fig|287.6611.peg.30,fig|287.6614.peg.30,fig|287.6616.peg.30,fig|287.6612.peg.31,fig|287.6618.peg.30,fig|287.6615.peg.37,fig|287.6617.peg.30,fig|287.6621.peg.30,fig|287.6619.peg.30,fig|287.6622.peg.31,fig|287.6623.peg.31,fig|287.6624.peg.30,fig|287.6625.peg.30,fig|287.6657.peg.31,fig|287.6655.peg.30,fig|287.6631.peg.35,fig|287.6628.peg.38,fig|287.6632.peg.30,fig|287.6629.peg.35,fig|287.6635.peg.30,fig|287.6633.peg.30,fig|287.6634.peg.30,fig|287.6637.peg.30,fig|287.6636.peg.30,fig|287.6620.peg.30,fig|287.6630.peg.30,fig|287.6639.peg.30,fig|287.6638.peg.36,fig|287.6627.peg.30
fig|287.6656.peg.32,fig|287.6613.peg.31,fig|287.6611.peg.31,fig|287.6614.peg.31,fig|287.6616.peg.31,fig|287.6612.peg.32,fig|287.6618.peg.31,fig|287.6615.peg.38,fig|287.6617.peg.31,fig|287.6621.peg.31,fig|287.6619.peg.31,fig|287.6622.peg.32,fig|287.6623.peg.32,fig|287.6624.peg.31,fig|287.6625.peg.31,fig|287.6657.peg.32,fig|287.6655.peg.31,fig|287.6631.peg.36,fig|287.6628.peg.39,fig|287.6632.peg.31,fig|287.6629.peg.36,fig|287.6635.peg.31,fig|287.6633.peg.31,fig|287.6634.peg.31,fig|287.6637.peg.31,fig|287.6636.peg.31,fig|287.6620.peg.31,fig|287.6630.peg.31,fig|287.6639.peg.31,fig|287.6638.peg.37,fig|287.6627.peg.31
fig|287.6656.peg.33,fig|287.6613.peg.32,fig|287.6611.peg.32,fig|287.6614.peg.32,fig|287.6616.peg.32,fig|287.6612.peg.33,fig|287.6618.peg.32,fig|287.6615.peg.39,fig|287.6617.peg.32,fig|287.6621.peg.32,fig|287.6619.peg.32,fig|287.6622.peg.33,fig|287.6623.peg.33,fig|287.6624.peg.32,fig|287.6625.peg.32,fig|287.6657.peg.33,fig|287.6655.peg.32,fig|287.6631.peg.37,fig|287.6628.peg.40,fig|287.6632.peg.32,fig|287.6629.peg.37,fig|287.6635.peg.32,fig|287.6633.peg.32,fig|287.6634.peg.32,fig|287.6637.peg.32,fig|287.6636.peg.32,fig|287.6620.peg.32,fig|287.6630.peg.32,fig|287.6639.peg.32,fig|287.6638.peg.38,fig|287.6627.peg.32
fig|287.6656.peg.35,fig|287.6613.peg.34,fig|287.6611.peg.34,fig|287.6614.peg.34,fig|287.6616.peg.34,fig|287.6612.peg.35,fig|287.6618.peg.34,fig|287.6615.peg.41,fig|287.6617.peg.34,fig|287.6621.peg.34,fig|287.6619.peg.34,fig|287.6622.peg.35,fig|287.6623.peg.35,fig|287.6624.peg.34,fig|287.6625.peg.34,fig|287.6657.peg.35,fig|287.6655.peg.34,fig|287.6631.peg.39,fig|287.6628.peg.42,fig|287.6632.peg.34,fig|287.6629.peg.39,fig|287.6635.peg.34,fig|287.6633.peg.34,fig|287.6634.peg.34,fig|287.6637.peg.34,fig|287.6636.peg.34,fig|287.6620.peg.34,fig|287.6630.peg.34,fig|287.6639.peg.34,fig|287.6638.peg.40,fig|287.6627.peg.34
fig|287.6656.peg.36,fig|287.6613.peg.35,fig|287.6611.peg.35,fig|287.6614.peg.35,fig|287.6616.peg.35,fig|287.6612.peg.36,fig|287.6618.peg.35,fig|287.6615.peg.42,fig|287.6617.peg.35,fig|287.6621.peg.35,fig|287.6619.peg.35,fig|287.6622.peg.36,fig|287.6623.peg.36,fig|287.6624.peg.35,fig|287.6625.peg.35,fig|287.6657.peg.36,fig|287.6655.peg.35,fig|287.6631.peg.40,fig|287.6628.peg.43,fig|287.6632.peg.35,fig|287.6629.peg.40,fig|287.6635.peg.35,fig|287.6633.peg.35,fig|287.6634.peg.35,fig|287.6637.peg.35,fig|287.6636.peg.35,fig|287.6620.peg.35,fig|287.6630.peg.35,fig|287.6639.peg.35,fig|287.6638.peg.41,fig|287.6627.peg.35
fig|287.6656.peg.37,fig|287.6613.peg.36,fig|287.6611.peg.36,fig|287.6614.peg.36,fig|287.6616.peg.36,fig|287.6612.peg.37,fig|287.6618.peg.36,fig|287.6615.peg.43,fig|287.6617.peg.36,fig|287.6621.peg.36,fig|287.6619.peg.36,fig|287.6622.peg.37,fig|287.6623.peg.37,fig|287.6624.peg.36,fig|287.6625.peg.36,fig|287.6657.peg.37,fig|287.6655.peg.36,fig|287.6631.peg.41,fig|287.6628.peg.44,fig|287.6632.peg.36,fig|287.6629.peg.41,fig|287.6635.peg.36,fig|287.6633.peg.36,fig|287.6634.peg.36,fig|287.6637.peg.36,fig|287.6636.peg.36,fig|287.6620.peg.36,fig|287.6630.peg.36,fig|287.6639.peg.36,fig|287.6638.peg.42,fig|287.6627.peg.36
