"","ID","locus","Gene"
"57","PGD1650948","PA14_00680","dmlR_1"
"58","PGD1650950","PA14_00690","group_9481"
"59","PGD1650952","PA14_00700","group_1983"
"60","PGD1650954","PA14_00710","osmC"
"61","PGD1650956","PA14_00720","group_984"
"62","PGD1650958","PA14_00730","group_10147"
"63","PGD1650960","PA14_00740","group_9780"
"64","PGD1650962","PA14_00750","group_10688"
"65","PGD1650964","PA14_00760","group_9906"
"66","PGD1650966","PA14_00770","group_11252"
"67","PGD1650968","PA14_00780","yrdA_1"
"68","PGD1650970","PA14_00790","prlC"
"69","PGD1650972","PA14_00800","group_12438"
"70","PGD1650974","PA14_00810","group_985"
"71","PGD1650976","PA14_00820","group_12745"
"72","PGD1650978","PA14_00830","group_11091"
"73","PGD1650980","PA14_00850","group_11456"
"74","PGD1650982","PA14_00860","macB_1"
"75","PGD1650984","PA14_00875","pknD_1"
"76","PGD1650986","PA14_00890","prpC_1"
"77","PGD1650988","PA14_00900","group_10072"
"78","PGD1650990","PA14_00910","group_2953"
"79","PGD1650992","PA14_00925","group_11795"
"80","PGD1650994","PA14_00940","group_10105"
"81","PGD1650996","PA14_00960","group_12217"
"82","PGD1650998","PA14_00970","group_220"
"83","PGD1651000","PA14_00980","group_221"
"84","PGD1651002","PA14_00990","group_12700"
"85","PGD1651004","PA14_01010","group_9456"
"86","PGD1651006","PA14_01020","group_9707"
"87","PGD1651008","PA14_01030","hcp1_1"
"88","PGD1651010","PA14_01040","group_1985"
"89","PGD1651012","PA14_01060","group_11970"
"90","PGD1651014","PA14_01070","group_10049"
"91","PGD1651016","PA14_01080","group_12264"
"92","PGD1651018","PA14_01100","clpV1_1"
"93","PGD1651020","PA14_01110","vgrG1_1"
"94","PGD1651022","PA14_01120","group_5315"
"95","PGD1651024","PA14_01130","group_5316"
"96","PGD1651026","PA14_01140","group_593"
"97","PGD1651028","PA14_01150","group_11345"
"98","PGD1651030","PA14_01160","group_11876"
"99","PGD1651032","PA14_01170","group_1986"
"100","PGD1651034","PA14_01180","group_1987"
"101","PGD1651036","PA14_01190","group_3589"
"102","PGD1651038","PA14_01200","group_7016"
"103","PGD1651040","PA14_01220","group_7017"
"104","PGD1651042","PA14_01230","group_987"
"105","PGD1651044","PA14_01240","cynT_1"
"106","PGD1651046","PA14_01250","group_10478"
"107","PGD1651048","PA14_01270","group_7949"
"108","PGD1651050","PA14_01290","group_1989"
"109","PGD1651052","PA14_01300","ctaD"
"110","PGD1651054","PA14_01310","ctaG"
"111","PGD1651056","PA14_01320","ctaE"
"112","PGD1651058","PA14_01330","group_11894"
"113","PGD1651060","PA14_01340","group_12671"
"114","PGD1651062","PA14_01350","group_989"
"115","PGD1651064","PA14_01360","ctaA"
"116","PGD1651066","PA14_01380","ctaB"
"117","PGD1651068","PA14_01390","group_9351"
"118","PGD1651070","PA14_01400","elaA"
"119","PGD1651072","PA14_01410","group_10370"
"120","PGD1651074","PA14_01430","group_9487"
"121","PGD1651076","PA14_01440","nsaD"
"122","PGD1651078","PA14_01460","dctA"
"123","PGD1651080","PA14_01470","lldR_1"
"124","PGD1651082","PA14_01480","group_1991"
"125","PGD1651084","PA14_01490","group_11517"
"126","PGD1651086","PA14_01500","dmlR_2"
"127","PGD1651088","PA14_01510","group_1992"
"128","PGD1651090","PA14_01520","group_12400"
"129","PGD1651092","PA14_01540","group_11602"
"130","PGD1651094","PA14_01550","group_12607"
"131","PGD1651096","PA14_01560","group_11277"
"132","PGD1651098","PA14_01580","bauD"
"133","PGD1651100","PA14_01600","bauC"
"134","PGD1651102","PA14_01610","bauB"
"135","PGD1651104","PA14_01620","bauA_1"
"136","PGD1651106","PA14_01640","group_11281"
"137","PGD1651108","PA14_01660","guaD_1"
"138","PGD1651110","PA14_01670","mglA"
"139","PGD1651112","PA14_01680","group_11763"
"140","PGD1651114","PA14_01690","group_1994"
"141","PGD1651116","PA14_01710","ahpC_1"
"142","PGD1651118","PA14_01720","ahpF"
"143","PGD1651120","PA14_01730","ppk2"
"144","PGD1651122","PA14_01750","group_11508"
"145","PGD1651124","PA14_01760","rihB"
"146","PGD1651126","PA14_01770","tsx"
"147","PGD1651128","PA14_01780","group_1995"
"148","PGD1651130","PA14_01790","group_1996"
"149","PGD1651132","PA14_01800","group_10895"
"150","PGD1651134","PA14_01810","vldW_1"
"151","PGD1651136","PA14_01830","group_11437"
"152","PGD1651138","PA14_01840","group_1997"
"153","PGD1651140","PA14_01860","group_12667"
"154","PGD1651142","PA14_01870","cntO_1"
"155","PGD1651144","PA14_01890","gbpR_1"
"156","PGD1651146","PA14_01900","pcaH"
"157","PGD1651148","PA14_01910","pcaG"
"158","PGD1651150","PA14_01930","pcaR"
"159","PGD1651152","PA14_01940","mdtA_1"
"160","PGD1651154","PA14_01960","mdtE"
"161","PGD1651156","PA14_01970","czcA_1"
"162","PGD1651158","PA14_01980","dmlR_3"
"163","PGD1651160","PA14_01990","group_12701"
"164","PGD1651162","PA14_02010","group_7950"
"165","PGD1651164","PA14_02020","oprD_1"
"166","PGD1651166","PA14_02030","nimR_1"
"167","PGD1651168","PA14_02050","ywrD"
"168","PGD1651170","PA14_02060","group_2001"
"169","PGD1651172","PA14_02070","xanP_1"
"170","PGD1651174","PA14_02090","rutR_1"
"171","PGD1651176","PA14_02100","yigZ"
"172","PGD1651178","PA14_02110","group_2002"
"173","PGD1651180","PA14_02130","group_11194"
"174","PGD1651182","PA14_02140","group_9222"
"175","PGD1651184","PA14_02150","group_993"
"176","PGD1651186","PA14_02180","cheB2"
"177","PGD1651188","PA14_02190","cheD"
"178","PGD1651190","PA14_02200","cheR"
"179","PGD1651192","PA14_02220","group_9802"
"180","PGD1651194","PA14_02230","cheW_1"
"181","PGD1651196","PA14_02250","group_12345"
"182","PGD1651198","PA14_02260","cheY_1"
"183","PGD1651200","PA14_02270","group_12160"
"184","PGD1651202","PA14_02290","dmlR_4"
"185","PGD1651204","PA14_02300","bdcA"
"186","PGD1651206","PA14_02310","atsA"
"187","PGD1651208","PA14_02330","ssuB_1"
"188","PGD1651210","PA14_02340","group_10237"
"189","PGD1651212","PA14_02360","group_10264"
"190","PGD1651214","PA14_02370","oprD_2"
"191","PGD1651216","PA14_02380","group_11115"
"192","PGD1651218","PA14_02390","group_10920"
"193","PGD1651220","PA14_02410","fyuA"
"194","PGD1651222","PA14_02420","atsK"
"195","PGD1651224","PA14_02435","tfdA"
"196","PGD1651226","PA14_02450","pntAA"
"197","PGD1651228","PA14_02460","pntA"
"198","PGD1651230","PA14_02470","pntB"
"199","PGD1651232","PA14_02490","group_12099"
"200","PGD1651234","PA14_02500","tolQ_1"
"201","PGD1651236","PA14_02510","exbD_1"
"202","PGD1651238","PA14_02520","group_12431"
"203","PGD1651240","PA14_02530","group_10100"
"204","PGD1651242","PA14_02550","madA"
"205","PGD1651244","PA14_02560","citG"
"206","PGD1651246","PA14_02570","mdcC"
"207","PGD1651248","PA14_02580","madC"
"208","PGD1651250","PA14_02590","group_12046"
"209","PGD1651252","PA14_02610","mdcG"
"210","PGD1651254","PA14_02620","fabD_1"
"211","PGD1651256","PA14_02630","group_12458"
"212","PGD1651258","PA14_02640","group_594"
"213","PGD1651260","PA14_02650","gltC_1"
"214","PGD1651262","PA14_02660","gltC_2"
"215","PGD1651264","PA14_02680","puuC_1"
"216","PGD1651266","PA14_02690","yhdG_1"
"217","PGD1651268","PA14_02700","spuC_1"
"218","PGD1651270","PA14_02720","group_9818"
"219","PGD1651272","PA14_02730","dapA_1"
"220","PGD1651274","PA14_02740","fucA_1"
"221","PGD1651276","PA14_02750","sutR_1"
"222","PGD1651278","PA14_02760","catI"
"223","PGD1651280","PA14_02770","catJ"
"224","PGD1651282","PA14_02790","pcaF_1"
"225","PGD1651284","PA14_02810","kgtP_1"
"226","PGD1651286","PA14_02830","pcaB_1"
"227","PGD1651288","PA14_02840","catD_1"
"228","PGD1651290","PA14_02850","group_12676"
"229","PGD1651292","PA14_02870","group_10025"
"230","PGD1651294","PA14_02890","group_10424"
"231","PGD1651296","PA14_02900","pcaK_1"
"232","PGD1651298","PA14_02910","iclR"
"233","PGD1651300","PA14_02930","iolG"
"234","PGD1651302","PA14_02960","group_12067"
"235","PGD1651304","PA14_02970","group_10690"
"236","PGD1651306","PA14_02980","nicP_1"
"237","PGD1651308","PA14_02990","exuT_1"
"238","PGD1651310","PA14_03000","group_12056"
"239","PGD1651312","PA14_03010","nicS"
"240","PGD1651314","PA14_03020","aroE_2"
"241","PGD1651316","PA14_03030","aroQ1_1"
"242","PGD1651318","PA14_03040","mdtD"
"243","PGD1651320","PA14_03050","pobA"
"244","PGD1651322","PA14_03070","group_12373"
"245","PGD1651324","PA14_03080","yjaB_1"
"246","PGD1651326","PA14_03090","IMPDH"
"247","PGD1651328","PA14_03100","group_3603"
"248","PGD1651330","PA14_03110","group_504"
"249","PGD1651332","PA14_03120","marR_1"
"250","PGD1651334","PA14_03130","hudA"
"251","PGD1651336","PA14_03150","group_2007"
"252","PGD1651338","PA14_03160","group_10808"
"253","PGD1651340","PA14_03163","group_3468"
"254","PGD1651342","PA14_03166","group_7019"
"255","PGD1651344","PA14_03170","group_204"
"256","PGD1651346","PA14_03180","group_12203"
"257","PGD1651348","PA14_03190","group_406"
"258","PGD1651350","PA14_03200","group_163"
"259","PGD1651352","PA14_03210","group_2009"
"260","PGD1651354","PA14_03220","group_2010"
"261","PGD1651356","PA14_03240","hcpA_1"
"262","PGD1651358","PA14_03250","group_828"
"263","PGD1651360","PA14_03265","group_7021"
"264","PGD1651362","PA14_03270","group_1937"
"265","PGD1651364","PA14_03285","group_7022"
"266","PGD1651366","PA14_03290","group_11576"
"267","PGD1651368","PA14_03300","group_47"
"268","PGD1651370","PA14_03310","group_3469"
"269","PGD1651372","PA14_03320","group_3470"
"270","PGD1651374","PA14_03330","group_7024"
"271","PGD1651376","PA14_03340","group_1473"
"272","PGD1651378","PA14_03350","group_7025"
"273","PGD1651380","PA14_03360","group_7026"
"274","PGD1651382","PA14_03370","group_3471"
"275","PGD1651384","PA14_03380","group_3472"
"276","PGD1651386","PA14_03390","group_3473"
"277","PGD1651388","PA14_03400","group_3474"
"278","PGD1651392","PA14_03420","group_7951"
"279","PGD1651394","PA14_03430","davD"
"280","PGD1651396","PA14_03450","davT"
"281","PGD1651398","PA14_03470","group_9952"
"282","PGD1651400","PA14_03480","hisC_1"
"283","PGD1651402","PA14_03490","group_11458"
"284","PGD1651404","PA14_03510","group_2011"
"285","PGD1651406","PA14_03520","group_9399"
"286","PGD1651408","PA14_03530","pcpR_1"
"287","PGD1651410","PA14_03550","yycB_1"
"288","PGD1651412","PA14_03560","group_599"
"289","PGD1651414","PA14_03580","crp"
"290","PGD1651416","PA14_03590","group_12268"
"291","PGD1651418","PA14_03610","ycaL"
"292","PGD1651420","PA14_03620","group_1005"
"293","PGD1651422","PA14_03630","group_12276"
"294","PGD1651424","PA14_03650","cysA"
"295","PGD1651426","PA14_03670","cysW"
"296","PGD1651428","PA14_03680","cysT"
"297","PGD1651430","PA14_03700","sbp_1"
"298","PGD1651432","PA14_03710","group_9266"
"299","PGD1651434","PA14_03720","group_1007"
"300","PGD1651436","PA14_03730","group_11691"
"301","PGD1651438","PA14_03760","putP_1"
"302","PGD1651440","PA14_03770","gpuA"
"303","PGD1651442","PA14_03780","group_12309"
"304","PGD1651444","PA14_03790","group_10263"
"305","PGD1651446","PA14_03800","nicP_2"
"306","PGD1651448","PA14_03810","aguA"
"307","PGD1651450","PA14_03830","group_10213"
"308","PGD1651452","PA14_03840","group_12173"
"309","PGD1651454","PA14_03855","potF_1"
"310","PGD1651456","PA14_03860","puuA_1"
"311","PGD1651458","PA14_03870","puuD"
"312","PGD1651460","PA14_03880","puuA_2"
"313","PGD1651462","PA14_03900","spuC_2"
"314","PGD1651464","PA14_03920","spuD_1"
"315","PGD1651466","PA14_03930","spuE_1"
"316","PGD1651468","PA14_03940","potA_1"
"317","PGD1651470","PA14_03950","potH"
"318","PGD1651472","PA14_03960","ydcV_1"
"319","PGD1651474","PA14_03980","quiP_1"
"320","PGD1651476","PA14_04000","group_10473"
"321","PGD1651478","PA14_04010","group_9963"
"322","PGD1651480","PA14_04020","group_2015"
"323","PGD1651482","PA14_04030","menH_1"
"324","PGD1651484","PA14_04040","group_3605"
"325","PGD1651486","PA14_04050","group_2016"
"326","PGD1651488","PA14_04060","group_12190"
"327","PGD1651490","PA14_04070","group_10435"
"328","PGD1651492","PA14_04080","yecS_1"
"329","PGD1651494","PA14_04090","fliY_1"
"330","PGD1651496","PA14_04100","group_9475"
"331","PGD1651498","PA14_04110","serA"
"332","PGD1651500","PA14_04140","group_11329"
"333","PGD1651502","PA14_04150","ycgM"
"334","PGD1651504","PA14_04160","yjiK_1"
"335","PGD1651506","PA14_04180","ygiW"
"336","PGD1651508","PA14_04190","aphB"
"337","PGD1651510","PA14_04210","puuP_1"
"338","PGD1651512","PA14_04220","spuE_2"
"339","PGD1651514","PA14_04230","ydcV_2"
"340","PGD1651516","PA14_04240","potB"
"341","PGD1651518","PA14_04250","potA_2"
"342","PGD1651520","PA14_04270","yjiK_2"
"343","PGD1651522","PA14_04290","group_12476"
"344","PGD1651524","PA14_04300","group_9657"
"345","PGD1651526","PA14_04310","rpiA"
"346","PGD1651528","PA14_04320","ilvA_1"
"347","PGD1651530","PA14_04330","group_2021"
"348","PGD1651532","PA14_04340","group_12331"
"349","PGD1651534","PA14_04350","group_11070"
"350","PGD1651536","PA14_04370","group_2022"
"351","PGD1651538","PA14_04380","group_10125"
"352","PGD1651540","PA14_04390","rppH"
"353","PGD1651542","PA14_04410","ptsP"
"354","PGD1651544","PA14_04420","group_2025"
"355","PGD1651546","PA14_04430","group_11933"
"356","PGD1651548","PA14_04440","group_11191"
"357","PGD1651550","PA14_04460","lgt"
"358","PGD1651552","PA14_04480","thyA"
"359","PGD1651554","PA14_04490","group_2027"
"360","PGD1651556","PA14_04510","group_12388"
"361","PGD1651558","PA14_04520","group_12101"
"362","PGD1651560","PA14_04530","group_2028"
"363","PGD1651562","PA14_04550","glpQ_1"
"364","PGD1651564","PA14_04560","group_11891"
"365","PGD1651566","PA14_04570","group_601"
"366","PGD1651568","PA14_04580","dhfrIII"
"367","PGD1651570","PA14_04590","group_9539"
"368","PGD1651572","PA14_04610","xanP_2"
"369","PGD1651574","PA14_04630","ilvD"
"370","PGD1651576","PA14_04640","rlmI"
"371","PGD1651578","PA14_04650","yraA"
"372","PGD1651580","PA14_04660","group_2029"
"373","PGD1651582","PA14_04670","mutM"
"374","PGD1651584","PA14_04680","group_10891"
"375","PGD1651586","PA14_04690","group_9466"
"376","PGD1651588","PA14_04700","group_1015"
"377","PGD1651590","PA14_04710","group_5322"
"378","PGD1651592","PA14_04730","ggt_1"
"379","PGD1651594","PA14_04750","fdx_1"
"380","PGD1651596","PA14_04760","coaD"
"381","PGD1651598","PA14_04780","group_9968"
"382","PGD1651600","PA14_04790","group_12041"
"383","PGD1651602","PA14_04810","calB"
"384","PGD1651604","PA14_04820","group_9268"
"385","PGD1651606","PA14_04830","group_2030"
"386","PGD1651608","PA14_04840","group_2031"
"387","PGD1651610","PA14_04850","group_2032"
"388","PGD1651612","PA14_04860","rsmD"
"389","PGD1651614","PA14_04870","group_1017"
"390","PGD1651616","PA14_04890","group_12527"
"391","PGD1651618","PA14_04900","ftsY"
"392","PGD1651620","PA14_04910","ftsE"
"393","PGD1651622","PA14_04920","ftsX"
"394","PGD1651624","PA14_04930","rpoH"
"395","PGD1651626","PA14_04940","group_9829"
"396","PGD1651628","PA14_04950","mtgA"
"397","PGD1651630","PA14_04960","group_9578"
"398","PGD1651632","PA14_04970","group_9245"
"399","PGD1651634","PA14_04980","thiG"
"400","PGD1651636","PA14_05000","trmB"
"401","PGD1651638","PA14_05010","group_2036"
"402","PGD1651640","PA14_05020","group_9297"
"403","PGD1651642","PA14_05030","group_9527"
"404","PGD1651644","PA14_05040","hemW"
"405","PGD1651646","PA14_05050","rdgB"
"406","PGD1651648","PA14_05060","group_9688"
"407","PGD1651650","PA14_05070","metXA"
"408","PGD1651652","PA14_05080","metXS"
"409","PGD1651654","PA14_05110","group_10402"
"410","PGD1651656","PA14_05120","group_12532"
"411","PGD1651658","PA14_05130","group_9223"
"412","PGD1651660","PA14_05150","proC"
"413","PGD1651662","PA14_05160","yggS"
"414","PGD1651664","PA14_05180","pilT_1"
"415","PGD1651666","PA14_05190","pilT_2"
"416","PGD1651668","PA14_05200","czcD_1"
"417","PGD1651670","PA14_05210","group_9232"
"418","PGD1651672","PA14_05220","cbs"
"419","PGD1651674","PA14_05230","metC"
"420","PGD1651676","PA14_05250","pyrC"
"421","PGD1651678","PA14_05260","pyrB"
"422","PGD1651680","PA14_05270","pyrR"
"423","PGD1651682","PA14_05280","yqgF"
"424","PGD1651684","PA14_05290","group_12534"
"425","PGD1651686","PA14_05300","group_2037"
"426","PGD1651688","PA14_05310","gshB"
"427","PGD1651690","PA14_05320","walR_1"
"428","PGD1651692","PA14_05330","pleD_1"
"429","PGD1651694","PA14_05340","group_2038"
"430","PGD1651696","PA14_05360","group_10939"
"431","PGD1651698","PA14_05380","cheR2"
"432","PGD1651700","PA14_05390","rcsC_1"
"433","PGD1651702","PA14_05400","cheB_1"
"434","PGD1651704","PA14_05410","group_10073"
"435","PGD1651706","PA14_05420","rhaS_1"
"436","PGD1651708","PA14_05430","group_10348"
"437","PGD1651710","PA14_05440","group_602"
"438","PGD1651712","PA14_05450","rsmE"
"439","PGD1651714","PA14_05460","bioA"
"440","PGD1651716","PA14_05480","group_9681"
"441","PGD1651718","PA14_05500","yceJ"
"442","PGD1651720","PA14_05510","yceI"
"443","PGD1651722","PA14_05520","mexR"
"444","PGD1651724","PA14_05530","mexA_1"
"445","PGD1651726","PA14_05540","mexB"
"446","PGD1651728","PA14_05550","oprM_1"
"447","PGD1651730","PA14_05560","rhlE_1"
"448","PGD1651732","PA14_05580","group_11107"
"449","PGD1651734","PA14_05590","metF"
"450","PGD1651736","PA14_05600","group_2039"
"451","PGD1651738","PA14_05620","ahcY"
"452","PGD1651740","PA14_05630","group_2040"
"453","PGD1651742","PA14_05640","cntO_2"
"454","PGD1651744","PA14_05650","group_1021"
"455","PGD1651746","PA14_05660","rutR_2"
"456","PGD1651748","PA14_05690","codA"
"457","PGD1651750","PA14_05700","codB"
"458","PGD1651752","PA14_05740","preA"
"459","PGD1651754","PA14_05750","gltD_1"
"460","PGD1651756","PA14_05770","dht"
"461","PGD1651758","PA14_05775","group_7952"
"462","PGD1651760","PA14_05790","pucI_1"
"463","PGD1651762","PA14_05810","hyuC"
"464","PGD1651764","PA14_05820","yfdE_1"
"465","PGD1651766","PA14_05840","mmgC_1"
"466","PGD1651768","PA14_05850","gcvA_2"
"467","PGD1651770","PA14_05860","group_9213"
"468","PGD1651772","PA14_05870","pitA_1"
"469","PGD1651774","PA14_05880","group_10386"
"470","PGD1651776","PA14_05890","group_11638"
"471","PGD1651778","PA14_05910","group_3606"
"472","PGD1651780","PA14_05920","yccS"
"473","PGD1651782","PA14_05950","dbpA"
"474","PGD1651784","PA14_05960","cspA_1"
"475","PGD1651786","PA14_05970","group_12007"
"476","PGD1651788","PA14_05990","hsrA"
"477","PGD1651790","PA14_06000","clpC"
"478","PGD1651792","PA14_06010","group_9396"
"479","PGD1651794","PA14_06030","yihG_1"
"480","PGD1651796","PA14_06040","group_2042"
"481","PGD1651798","PA14_06060","creB"
"482","PGD1651800","PA14_06070","creC"
"483","PGD1651802","PA14_06080","creD"
"484","PGD1651804","PA14_06090","group_9234"
"485","PGD1651806","PA14_06120","yibF"
"486","PGD1651808","PA14_06130","vgb"
"487","PGD1651810","PA14_06150","group_2045"
"488","PGD1651812","PA14_06160","fhuA_1"
"489","PGD1651814","PA14_06170","fecR_1"
"490","PGD1651816","PA14_06180","fecI_1"
"491","PGD1651818","PA14_06190","group_11884"
"492","PGD1651820","PA14_06200","group_1796"
"493","PGD1651822","PA14_06210","yxaF_1"
"494","PGD1651824","PA14_06230","pucI_2"
"495","PGD1651826","PA14_06240","pcpR_2"
"496","PGD1651828","PA14_06250","group_10658"
"497","PGD1651830","PA14_06260","yhaJ_1"
"498","PGD1651832","PA14_06270","catD_2"
"499","PGD1651834","PA14_06280","group_2049"
"500","PGD1651836","PA14_06290","glcB"
"501","PGD1651838","PA14_06300","group_12329"
"502","PGD1651840","PA14_06310","group_9291"
"503","PGD1651842","PA14_06320","rarD_1"
"504","PGD1651844","PA14_06330","rdoA"
"505","PGD1651846","PA14_06340","modE"
"506","PGD1651848","PA14_06350","group_2050"
"507","PGD1651850","PA14_06360","group_2051"
"508","PGD1651852","PA14_06390","group_2052"
"509","PGD1651854","PA14_06400","oxyR_1"
"510","PGD1651856","PA14_06420","pxpA"
"511","PGD1651858","PA14_06430","accB_1"
"512","PGD1651860","PA14_06450","accC_1"
"513","PGD1651862","PA14_06460","pxpB_1"
"514","PGD1651864","PA14_06480","pxpC_1"
"515","PGD1651866","PA14_06500","bioB"
"516","PGD1651868","PA14_06510","bioF"
"517","PGD1651870","PA14_06530","bioH"
"518","PGD1651872","PA14_06540","bioC"
"519","PGD1651874","PA14_06570","bioD1"
"520","PGD1651876","PA14_06580","group_11926"
"521","PGD1651878","PA14_06600","dmdC_1"
"522","PGD1651880","PA14_06620","dmdC_2"
"523","PGD1651882","PA14_06640","dmdC_3"
"524","PGD1651884","PA14_06650","nirS_1"
"525","PGD1651886","PA14_06660","cysG_1"
"526","PGD1651888","PA14_06670","mftC"
"527","PGD1651890","PA14_06680","group_10706"
"528","PGD1651892","PA14_06690","group_2055"
"529","PGD1651894","PA14_06700","group_12237"
"530","PGD1651896","PA14_06710","group_10214"
"531","PGD1651898","PA14_06720","group_11867"
"532","PGD1651900","PA14_06730","group_10739"
"533","PGD1651902","PA14_06740","nirM"
"534","PGD1651904","PA14_06750","nirS_2"
"535","PGD1651906","PA14_06770","nirQ"
"536","PGD1651908","PA14_06790","qoxC"
"537","PGD1651910","PA14_06800","group_1023"
"538","PGD1651912","PA14_06810","norC"
"539","PGD1651914","PA14_06830","norB"
"540","PGD1651916","PA14_06840","group_10805"
"541","PGD1651918","PA14_06860","group_12583"
"542","PGD1651920","PA14_06870","glxR_1"
"543","PGD1651924","PA14_06880","cynR_1"
"544","PGD1651926","PA14_06890","yiiM_1"
"545","PGD1651928","PA14_06900","group_2057"
"546","PGD1651930","PA14_06920","argD"
"547","PGD1651932","PA14_06930","group_1024"
"548","PGD1651934","PA14_06940","group_2058"
"549","PGD1651936","PA14_06950","malT_1"
"550","PGD1651938","PA14_06960","puuB_1"
"551","PGD1651940","PA14_06970","group_10960"
"552","PGD1651942","PA14_06980","group_12375"
"553","PGD1651944","PA14_06990","lemA_1"
"554","PGD1651946","PA14_07000","dsbB_1"
"555","PGD1651948","PA14_07010","group_11686"
"556","PGD1651950","PA14_07020","group_9548"
"557","PGD1651952","PA14_07030","group_12000"
"558","PGD1651954","PA14_07040","yqjC"
"559","PGD1651956","PA14_07050","group_2062"
"560","PGD1651958","PA14_07060","cpdA_1"
"561","PGD1651960","PA14_07070","group_12171"
"562","PGD1651962","PA14_07090","metK"
"563","PGD1651964","PA14_07110","COQ3_1"
"564","PGD1651966","PA14_07130","tktA"
"565","PGD1651968","PA14_07140","group_11968"
"566","PGD1651970","PA14_07150","otnI"
"567","PGD1651972","PA14_07170","epd_1"
"568","PGD1651974","PA14_07190","pgk"
"569","PGD1651976","PA14_07200","group_9520"
"570","PGD1651978","PA14_07210","group_2064"
"571","PGD1651980","PA14_07230","cbbA"
"572","PGD1651982","PA14_07240","group_2065"
"573","PGD1651984","PA14_07250","group_1026"
"574","PGD1651986","PA14_07260","group_3398"
"575","PGD1651988","PA14_07280","group_12301"
"576","PGD1651990","PA14_07290","ygjP"
"577","PGD1651992","PA14_07300","group_2954"
"578","PGD1651994","PA14_07310","yieH"
"579","PGD1651996","PA14_07330","yhaI"
"580","PGD1651998","PA14_07340","mtrA_1"
"581","PGD1652000","PA14_07355","group_2067"
"582","PGD1652002","PA14_07360","group_2068"
"583","PGD1652004","PA14_07370","group_9453"
"584","PGD1652006","PA14_07380","group_12482"
"585","PGD1652008","PA14_07400","group_12469"
"586","PGD1652010","PA14_07410","group_606"
"587","PGD1652012","PA14_07420","group_297"
"588","PGD1652014","PA14_07430","impA"
"589","PGD1652016","PA14_07440","group_411"
"590","PGD1652018","PA14_07450","group_608"
"591","PGD1652020","PA14_07460","group_4677"
"592","PGD1652024","PA14_07480","group_1847"
"593","PGD1652026","PA14_07500","group_10170"
"594","PGD1652028","PA14_07520","rpoD"
"595","PGD1652030","PA14_07530","dnaG"
"596","PGD1652032","PA14_07550","yqeY"
"597","PGD1652034","PA14_07560","rpsU"
"598","PGD1652036","PA14_07570","tsaD"
"599","PGD1652038","PA14_07580","plsY"
"600","PGD1652040","PA14_07590","folB"
"601","PGD1652042","PA14_07600","group_12244"
"602","PGD1652044","PA14_07620","cca"
"603","PGD1652046","PA14_07630","group_2071"
"604","PGD1652048","PA14_07650","group_11275"
"605","PGD1652050","PA14_07660","group_9565"
"606","PGD1652052","PA14_07680","group_9197"
