locus,Gene
PA14_03160,group_10808
PA14_03163,group_3468
PA14_03166,group_7019
PA14_03170,group_204
PA14_03180,group_12203
PA14_03190,group_406
PA14_03200,group_163
PA14_03210,group_2009
PA14_03220,group_2010
PA14_03240,hcpA_1
PA14_03250,group_828
PA14_03265,group_7021
PA14_03270,group_1937
PA14_03285,group_7022
PA14_03290,group_11576
PA14_03300,group_47
PA14_03310,group_3469
PA14_03320,group_3470
PA14_03330,group_7024
PA14_03340,group_1473
PA14_03350,group_7025
PA14_03360,group_7026
PA14_03370,group_3471
PA14_03380,group_3472
PA14_03390,group_3473
PA14_03400,group_3474
PA14_03420,group_7951
PA14_03430,davD
PA14_03450,davT
PA14_03470,group_9952
PA14_03480,hisC_1
PA14_03490,group_11458
PA14_03510,group_2011
PA14_03520,group_9399
PA14_03530,pcpR_1
PA14_03550,yycB_1
PA14_03560,group_599
PA14_03580,crp
PA14_03590,group_12268
PA14_03610,ycaL
PA14_03620,group_1005
PA14_03630,group_12276
PA14_03650,cysA
PA14_03670,cysW
PA14_03680,cysT
PA14_03700,sbp_1
PA14_03710,group_9266
PA14_03720,group_1007
PA14_03730,group_11691
PA14_03760,putP_1
PA14_03770,gpuA
PA14_03780,group_12309
PA14_03790,group_10263
PA14_03800,nicP_2
PA14_03810,aguA
PA14_03830,group_10213
PA14_03840,group_12173
PA14_03855,potF_1
PA14_03860,puuA_1
PA14_03870,puuD
PA14_03880,puuA_2
PA14_03900,spuC_2
PA14_03920,spuD_1
PA14_03930,spuE_1
PA14_03940,potA_1
PA14_03950,potH
PA14_03960,ydcV_1
PA14_03980,quiP_1
PA14_04000,group_10473
PA14_04010,group_9963
PA14_04020,group_2015
PA14_04030,menH_1
PA14_04040,group_3605
PA14_04050,group_2016
PA14_04060,group_12190
PA14_04070,group_10435
PA14_04080,yecS_1
PA14_04090,fliY_1
PA14_04100,group_9475
PA14_04110,serA
PA14_04140,group_11329
PA14_04150,ycgM
PA14_04160,yjiK_1
PA14_04180,ygiW
PA14_04190,aphB
PA14_04210,puuP_1
PA14_04220,spuE_2
PA14_04230,ydcV_2
PA14_04240,potB
PA14_04250,potA_2
PA14_04270,yjiK_2
PA14_04290,group_12476
PA14_04300,group_9657
PA14_04310,rpiA
PA14_04320,ilvA_1
PA14_04330,group_2021
PA14_04340,group_12331
PA14_04350,group_11070
PA14_04370,group_2022
PA14_04380,group_10125
PA14_04390,rppH
PA14_04410,ptsP
PA14_04420,group_2025
PA14_04430,group_11933
PA14_04440,group_11191
PA14_04460,lgt
PA14_04480,thyA
PA14_04490,group_2027
PA14_04510,group_12388
PA14_04520,group_12101
PA14_04530,group_2028
PA14_04550,glpQ_1
PA14_04560,group_11891
PA14_04570,group_601
PA14_04580,dhfrIII
PA14_04590,group_9539
PA14_04610,xanP_2
PA14_04630,ilvD
PA14_04640,rlmI
PA14_04650,yraA
PA14_04660,group_2029
PA14_04670,mutM
PA14_04680,group_10891
PA14_04690,group_9466
PA14_04700,group_1015
PA14_04710,group_5322
PA14_04730,ggt_1
PA14_04750,fdx_1
PA14_04760,coaD
PA14_04780,group_9968
PA14_04790,group_12041
PA14_04810,calB
PA14_04820,group_9268
PA14_04830,group_2030
PA14_04840,group_2031
PA14_04850,group_2032
PA14_04860,rsmD
PA14_04870,group_1017
PA14_04890,group_12527
PA14_04900,ftsY
PA14_04910,ftsE
PA14_04920,ftsX
PA14_04930,rpoH
PA14_04940,group_9829
PA14_04950,mtgA
PA14_04960,group_9578
PA14_04970,group_9245
PA14_04980,thiG
PA14_05000,trmB
PA14_05010,group_2036
PA14_05020,group_9297
PA14_05030,group_9527
PA14_05040,hemW
PA14_05050,rdgB
PA14_05060,group_9688
PA14_05070,metXA
PA14_05080,metXS
PA14_05110,group_10402
PA14_05120,group_12532
PA14_05130,group_9223
PA14_05150,proC
PA14_05160,yggS
PA14_05180,pilT_1
PA14_05190,pilT_2
PA14_05200,czcD_1
PA14_05210,group_9232
PA14_05220,cbs
PA14_05230,metC
PA14_05250,pyrC
PA14_05260,pyrB
PA14_05270,pyrR
PA14_05280,yqgF
PA14_05290,group_12534
PA14_05300,group_2037
PA14_05310,gshB
PA14_05320,walR_1
PA14_05330,pleD_1
PA14_05340,group_2038
PA14_05360,group_10939
PA14_05380,cheR2
PA14_05390,rcsC_1
PA14_05400,cheB_1
PA14_05410,group_10073
PA14_05420,rhaS_1
PA14_05430,group_10348
PA14_05440,group_602
PA14_05450,rsmE
PA14_05460,bioA
PA14_05480,group_9681
PA14_05500,yceJ
PA14_05510,yceI
PA14_05520,mexR
PA14_05530,mexA_1
PA14_05540,mexB
PA14_05550,oprM_1
PA14_05560,rhlE_1
PA14_05580,group_11107
PA14_05590,metF
PA14_05600,group_2039
PA14_05620,ahcY
PA14_05630,group_2040
PA14_05640,cntO_2
PA14_05650,group_1021
PA14_05660,rutR_2
PA14_05690,codA
PA14_05700,codB
PA14_05740,preA
PA14_05750,gltD_1
PA14_05770,dht
PA14_05775,group_7952
PA14_05790,pucI_1
PA14_05810,hyuC
PA14_05820,yfdE_1
PA14_05840,mmgC_1
PA14_05850,gcvA_2
PA14_05860,group_9213
PA14_05870,pitA_1
PA14_05880,group_10386
PA14_05890,group_11638
PA14_05910,group_3606
PA14_05920,yccS
PA14_05950,dbpA
PA14_05960,cspA_1
PA14_05970,group_12007
PA14_05990,hsrA
PA14_06000,clpC
PA14_06010,group_9396
PA14_06030,yihG_1
PA14_06040,group_2042
PA14_06060,creB
PA14_06070,creC
PA14_06080,creD
PA14_06090,group_9234
PA14_06120,yibF
PA14_06130,vgb
PA14_06150,group_2045
PA14_06160,fhuA_1
PA14_06170,fecR_1
PA14_06180,fecI_1
PA14_06190,group_11884
PA14_06200,group_1796
PA14_06210,yxaF_1
PA14_06230,pucI_2
PA14_06240,pcpR_2
PA14_06250,group_10658
PA14_06260,yhaJ_1
PA14_06270,catD_2
PA14_06280,group_2049
PA14_06290,glcB
PA14_06300,group_12329
PA14_06310,group_9291
PA14_06320,rarD_1
PA14_06330,rdoA
PA14_06340,modE
PA14_06350,group_2050
PA14_06360,group_2051
PA14_06390,group_2052
PA14_06400,oxyR_1
PA14_06420,pxpA
PA14_06430,accB_1
PA14_06450,accC_1
PA14_06460,pxpB_1
PA14_06480,pxpC_1
PA14_06500,bioB
PA14_06510,bioF
PA14_06530,bioH
PA14_06540,bioC
PA14_06570,bioD1
PA14_06580,group_11926
PA14_06600,dmdC_1
PA14_06620,dmdC_2
PA14_06640,dmdC_3
PA14_06650,nirS_1
PA14_06660,cysG_1
PA14_06670,mftC
PA14_06680,group_10706
PA14_06690,group_2055
PA14_06700,group_12237
PA14_06710,group_10214
PA14_06720,group_11867
PA14_06730,group_10739
PA14_06740,nirM
PA14_06750,nirS_2
PA14_06770,nirQ
PA14_06790,qoxC
PA14_06800,group_1023
PA14_06810,norC
PA14_06830,norB
PA14_06840,group_10805
PA14_06860,group_12583
PA14_06870,glxR_1
PA14_06880,cynR_1
PA14_06890,yiiM_1
PA14_06900,group_2057
PA14_06920,argD
PA14_06930,group_1024
PA14_06940,group_2058
PA14_06950,malT_1
PA14_06960,puuB_1
PA14_06970,group_10960
PA14_06980,group_12375
PA14_06990,lemA_1
PA14_07000,dsbB_1
PA14_07010,group_11686
PA14_07020,group_9548
PA14_07030,group_12000
PA14_07040,yqjC
PA14_07050,group_2062
PA14_07060,cpdA_1
PA14_07070,group_12171
PA14_07090,metK
PA14_07110,COQ3_1
PA14_07130,tktA
PA14_07140,group_11968
PA14_07150,otnI
PA14_07170,epd_1
PA14_07190,pgk
PA14_07200,group_9520
PA14_07210,group_2064
PA14_07230,cbbA
PA14_07240,group_2065
PA14_07250,group_1026
PA14_07260,group_3398
PA14_07280,group_12301
PA14_07290,ygjP
PA14_07300,group_2954
PA14_07310,yieH
PA14_07330,yhaI
PA14_07340,mtrA_1
PA14_07355,group_2067
PA14_07360,group_2068
PA14_07370,group_9453
PA14_07380,group_12482
PA14_07400,group_12469
PA14_07410,group_606
PA14_07420,group_297
PA14_07430,impA
PA14_07440,group_411
PA14_07450,group_608
PA14_07460,group_4677
PA14_07480,group_1847
PA14_07500,group_10170
PA14_07520,rpoD
PA14_07530,dnaG
PA14_07550,yqeY
PA14_07560,rpsU
PA14_07570,tsaD
PA14_07580,plsY
PA14_07590,folB
PA14_07600,group_12244
PA14_07620,cca
PA14_07630,group_2071
PA14_07650,group_11275
PA14_07660,group_9565
PA14_07680,group_9197
PA14_07690,glpE_1
PA14_07700,apaH_1
PA14_07710,apaG
PA14_07730,rsmA
PA14_07740,pdxA
PA14_07760,surA_1
PA14_07770,group_6587
PA14_07780,amgK
PA14_07790,murU
PA14_07800,djlA
PA14_07810,group_12209
PA14_07820,mltF_1
PA14_07840,uvrY
PA14_07850,potD_1
PA14_07860,potA_3
PA14_07870,potD_2
PA14_07890,group_9849
PA14_07900,ydcV_3
PA14_07910,rpe
PA14_07930,gph
PA14_07940,trpE
PA14_07950,group_2074
PA14_07960,prtR_1
PA14_07970,group_9233
PA14_07980,group_12526
PA14_07990,group_1029
PA14_08000,group_3611
PA14_08010,group_3612
PA14_08020,group_3613
PA14_08030,group_3614
PA14_08040,group_3615
PA14_08050,group_6588
PA14_08060,group_7953
PA14_08070,gpFI
PA14_08090,group_3619
PA14_08100,group_3620
PA14_08110,group_7954
PA14_08120,group_3621
PA14_08130,group_3622
PA14_08140,group_3623
PA14_08150,group_3624
PA14_08160,group_12509
PA14_08180,group_2075
PA14_08190,group_2076
PA14_08200,group_7955
PA14_08210,group_5965
PA14_08220,group_5966
PA14_08230,group_5967
PA14_08240,group_1970
PA14_08250,group_5968
PA14_08260,group_5969
PA14_08270,group_5970
PA14_08280,group_5971
PA14_08300,group_1923
PA14_08310,group_6591
PA14_08320,group_6592
PA14_08330,group_3399
PA14_08340,trpG
PA14_08350,trpD_1
PA14_08360,trpC
PA14_08370,vfr
PA14_08380,yhfA
PA14_08390,speD
PA14_08400,coq7
PA14_08420,group_9414
PA14_08430,ftsH_1
PA14_08440,group_12682
PA14_08450,group_12748
PA14_08460,group_1030
PA14_08470,group_11754
PA14_08480,argC
PA14_08490,group_10390
PA14_08500,group_2077
PA14_08510,erpA
PA14_08520,anmK
PA14_08540,mepM
PA14_08560,tyrS_1
PA14_08620,birA
PA14_08630,coaX
PA14_08640,group_12419
PA14_08680,tufA_1
PA14_08695,group_7956
PA14_08710,nusG
PA14_08720,rplK
PA14_08730,rplA
PA14_08740,rplJ
PA14_08750,rplL
PA14_08760,rpoB
PA14_08780,rpoC
PA14_08790,rpsL
PA14_08810,rpsG
PA14_08820,fusA
PA14_08830,tufA_2
PA14_08840,rpsJ
PA14_08850,rplC
PA14_08860,rplD
PA14_08870,rplW
PA14_08880,rplB
PA14_08890,rpsS
PA14_08900,rplV
PA14_08910,rpsC
PA14_08920,rplP
PA14_08930,rpmC
PA14_08940,rpsQ
PA14_08950,rplN
PA14_08960,rplX
PA14_08970,rplE
PA14_08980,rpsN
PA14_08990,rpsH
PA14_09000,rplF
PA14_09010,rplR
PA14_09020,rpsE
PA14_09030,rpmD
PA14_09040,rplO
PA14_09050,secY
PA14_09070,rpmJ
PA14_09080,rpsM
PA14_09090,rpsK
PA14_09100,rpsD
PA14_09115,rpoA
PA14_09130,rplQ
PA14_09150,katA
PA14_09160,bfr_1
PA14_09180,uvrA
PA14_09195,yajR
PA14_09200,ssb
PA14_09210,pchA_1
PA14_09220,pchB
PA14_09230,pikAV
PA14_09240,dhbE
PA14_09260,pchR
PA14_09270,dltA_1
PA14_09280,dltA_2
PA14_09290,btuD_1
PA14_09300,irtA
PA14_09320,irtB
PA14_09340,fptA
PA14_09350,group_166
PA14_09370,group_169
PA14_09380,group_1034
PA14_09400,phzS
PA14_09410,phzG_1
PA14_09420,phzF_1
PA14_09440,menF_1
PA14_09450,phzD2_1
PA14_09460,aroH_1
PA14_09470,phzB1
PA14_09480,phzA1
PA14_09490,phzM
PA14_09500,ttgI_1
PA14_09520,bepE
PA14_09530,bepF_1
PA14_09540,group_9219
PA14_09550,pgl_1
PA14_09570,gltR_1
PA14_09580,nmoA
PA14_09600,ddl_1
PA14_09610,ytnP
PA14_09630,dmdC_4
PA14_09660,group_10769
PA14_09680,sasA_1
PA14_09690,todT
PA14_09700,oxyE
PA14_09710,puuC_2
PA14_09730,dapA_2
PA14_09740,ygcS
PA14_09750,puuB_2
PA14_09760,rspR
PA14_09770,cdhR_1
PA14_09780,group_2085
PA14_09790,paiB
PA14_09810,group_612
PA14_09820,alsS
PA14_09850,nicP_3
PA14_09870,group_11528
PA14_09880,group_1042
PA14_09890,ppiC_1
PA14_09900,prpL
PA14_09910,pgrR_1
PA14_09920,yjgH
PA14_09930,xthA_1
PA14_09940,yfkM
PA14_09950,ahpF_2
PA14_09960,ywnA
PA14_09970,fpvA
PA14_09980,dkgB
PA14_09990,group_2089
PA14_10010,gabR_1
PA14_10020,group_2090
PA14_10040,QRSL1
PA14_10050,group_7031
PA14_10070,group_7032
PA14_10080,group_7033
PA14_10090,group_7034
PA14_10110,group_3475
PA14_10120,group_7035
PA14_10130,fabG_1
PA14_10140,fepG
PA14_10160,fepD
PA14_10170,fepB
PA14_10180,fepC
PA14_10190,group_2092
PA14_10200,btuB_1
PA14_10210,ntaA
PA14_10220,group_9387
PA14_10230,ydjJ
PA14_10240,acoC
PA14_10250,acoB
PA14_10260,acoA
PA14_10270,group_11142
PA14_10280,fabG_2
PA14_10290,acoR_1
PA14_10300,group_11310
PA14_10320,dmlR_5
PA14_10330,oprM_2
PA14_10340,apxIB_1
PA14_10350,cvaA
PA14_10360,group_12163
PA14_10370,group_12357
PA14_10380,group_9554
PA14_10400,group_7957
PA14_10410,group_7958
PA14_10420,tyrS_2
PA14_10440,nicP_4
PA14_10470,bcr_1
PA14_10480,farR
PA14_10490,group_2093
PA14_10500,ccoN1_1
PA14_10530,norG_1
PA14_10540,group_2094
PA14_10550,sir_1
PA14_10560,group_11938
PA14_10570,hpcH
PA14_10590,hpcG
PA14_10600,nicT
PA14_10610,hpcD_1
PA14_10620,hpcB
PA14_10630,betB_1
PA14_10640,hpcE_1
PA14_10650,hpcE_2
PA14_10660,rhaR_1
PA14_10670,neo
PA14_10680,group_10017
PA14_10700,bphP
PA14_10710,group_2096
PA14_10730,ppnN
PA14_10740,group_11295
PA14_10750,sotB_1
PA14_10770,rcsC_2
PA14_10780,group_11650
PA14_10790,ampC
PA14_10800,ampR
PA14_10820,group_2097
PA14_10830,group_3631
PA14_10840,group_3632
PA14_10850,alkJ_1
PA14_10870,oprB_1
PA14_10890,kduD
PA14_10900,gutB
PA14_10910,exuT_2
PA14_10920,group_12198
PA14_10940,nphR
PA14_10950,group_10865
PA14_10960,tsaM1_1
PA14_10970,pcpD_1
PA14_10980,group_2098
PA14_10990,hpaC
PA14_11000,hpaB_1
PA14_11010,group_12172
PA14_11020,fabG_3
PA14_11030,hemL2
PA14_11050,moaF
PA14_11060,lpfA
PA14_11070,yadV_2
PA14_11080,htrE
PA14_11090,yadV_3
PA14_11100,group_11871
PA14_11110,group_1055
PA14_11120,rcsB_1
PA14_11130,hcaB_1
PA14_11140,lgrD_1
PA14_11150,group_12143
PA14_11160,group_2102
PA14_11170,group_415
PA14_11180,group_2103
PA14_11190,styD
PA14_11210,steT
PA14_11230,group_1058
PA14_11240,feaR
PA14_11250,rmlD
PA14_11260,wbgU
PA14_11270,ompW
PA14_11280,group_9820
PA14_11290,group_9735
PA14_11310,group_10353
PA14_11320,group_1655
PA14_11330,group_1059
PA14_11340,cnoX
PA14_11350,prmC_1
PA14_11370,group_2104
PA14_11380,nrdR
PA14_11400,ribD
PA14_11410,ribE
PA14_11420,ribBA
PA14_11430,ribH
PA14_11450,nusB
PA14_11460,thiL
PA14_11470,pgpA
PA14_11480,group_11479
PA14_11490,group_12324
PA14_11510,group_11591
PA14_11520,group_11982
PA14_11530,btuF_1
PA14_11550,dxs
PA14_11560,ispA
PA14_11570,xseB
PA14_11580,tarD
PA14_11590,group_2109
PA14_11600,group_12558
PA14_11610,group_12454
PA14_11620,group_3636
PA14_11630,sasA_3
PA14_11650,group_10944
PA14_11660,aqpZ
PA14_11670,group_2110
PA14_11680,walR_2
PA14_11690,ppa
PA14_11700,mtfA
PA14_11720,dedA
PA14_11730,group_616
PA14_11740,group_10858
PA14_11750,group_2111
PA14_11760,eutC
PA14_11770,eutB
PA14_11790,potE_1
PA14_11810,adh_1
PA14_11830,acoR_2
PA14_11845,mpl
PA14_11860,ubiX
PA14_11880,group_299
PA14_11890,group_618
PA14_11900,group_620
PA14_11910,group_9201
PA14_11920,cidA_1
PA14_11930,yohK_1
PA14_11940,group_9238
PA14_11960,group_2112
PA14_11970,group_12582
PA14_11980,group_10040
PA14_11990,group_2113
PA14_12010,proA
PA14_12020,nadD_1
PA14_12030,rsfS
PA14_12050,rlmH
PA14_12060,mrdA
PA14_12070,mrdB
PA14_12080,mltB_1
PA14_12090,rlpA_1
PA14_12100,dacC
PA14_12110,group_12410
PA14_12120,lipB
PA14_12130,lipA
PA14_12140,cysL_1
PA14_12150,group_301
PA14_12160,group_2115
PA14_12170,group_1696
PA14_12180,group_12661
PA14_12200,holA
PA14_12210,lptE
PA14_12230,leuS
PA14_12260,group_12433
PA14_12270,group_12477
PA14_12280,lnt
PA14_12300,corC
PA14_12310,ybeY
PA14_12330,ybeZ
PA14_12350,miaB
PA14_12360,group_9627
PA14_12370,group_9356
PA14_12390,hemL_1
PA14_12400,thiE_1
PA14_12410,thiD
PA14_12440,group_11375
PA14_12450,aidB
PA14_12470,group_2119
PA14_12490,amn
PA14_12530,group_10004
PA14_12540,rluE
PA14_12550,group_9486
PA14_12560,group_9435
PA14_12570,lrp_1
PA14_12590,group_7959
PA14_12610,fieF
PA14_12620,group_9731
PA14_12630,hrpB_3
PA14_12640,group_11895
PA14_12650,group_2127
PA14_12670,group_10547
PA14_12680,hcaB
PA14_12690,group_11912
PA14_12700,group_11880
PA14_12710,sfnG
PA14_12730,sttH_1
PA14_12740,group_1068
PA14_12750,group_9947
PA14_12760,rhlE_2
PA14_12770,baiN
PA14_12780,bvgA_1
PA14_12810,rssB_1
PA14_12820,bvgS_1
PA14_12840,group_12024
PA14_12850,group_12158
PA14_12860,group_11945
PA14_12870,tesB
PA14_12890,mupP_1
PA14_12900,group_9319
PA14_12910,sfnC_1
PA14_12920,tauA
PA14_12940,tauB
PA14_12960,ssuC_1
PA14_12970,tauD_1
PA14_12980,group_418
PA14_12990,betT2
PA14_13000,sfnR_1
PA14_13010,metQ_1
PA14_13030,cydA
PA14_13040,cydB
PA14_13050,group_2130
PA14_13060,nimR_2
PA14_13070,group_10080
PA14_13090,thlA_1
PA14_13110,group_11758
PA14_13130,group_3649
PA14_13140,group_10349
PA14_13150,malT_2
PA14_13170,copA_1
PA14_13190,group_11038
PA14_13200,group_5326
PA14_13210,group_5327
PA14_13220,group_5328
PA14_13230,moaC
PA14_13240,moaD
PA14_13250,moaE
PA14_13260,moaB_1
PA14_13280,moeA
PA14_13290,yhbU
PA14_13300,group_2131
PA14_13320,ubiJ_1
PA14_13330,phoD
PA14_13340,group_10649
PA14_13350,group_12425
PA14_13360,group_12222
PA14_13370,group_2132
PA14_13380,group_12360
PA14_13390,group_1078
PA14_13410,prfC
PA14_13420,ivy_1
PA14_13430,fecA_1
PA14_13450,fecR_2
PA14_13460,fecI_2
PA14_13470,rhaS_2
PA14_13490,eamA_1
PA14_13500,ghrB_1
PA14_13510,dmlR_6
PA14_13520,ttgI_2
PA14_13530,aaeB_1
PA14_13560,aaeA_1
PA14_13580,osmV
PA14_13590,osmW
PA14_13600,osmX
PA14_13610,osmY_1
PA14_13620,nhaP
PA14_13630,group_9529
PA14_13650,group_2136
PA14_13660,group_12587
PA14_13670,group_11499
PA14_13680,group_12269
PA14_13690,group_12168
PA14_13710,group_10965
PA14_13720,group_9342
PA14_13730,narL
PA14_13740,narX
PA14_13750,group_7960
PA14_13770,narK
PA14_13780,narG
PA14_13800,narY
PA14_13810,narW
PA14_13830,narV
PA14_13840,surA_2
PA14_13850,moaA_1
PA14_13860,group_7961
PA14_13870,group_942
PA14_13880,group_943
PA14_13890,group_3312
PA14_13920,group_7962
PA14_13940,group_948
PA14_13950,group_7963
PA14_13960,group_7964
PA14_13970,group_7965
PA14_13990,argT_1
PA14_14000,dauR
PA14_14010,dauA
PA14_14020,dauB
PA14_14040,rhlB
PA14_14060,lcfB
PA14_14080,estB_1
PA14_14100,yhdW
PA14_14110,pcs
PA14_14130,group_12550
PA14_14140,group_9343
PA14_14150,group_9327
PA14_14160,dapH_2
PA14_14170,group_10821
PA14_14200,group_12588
PA14_14210,group_10429
PA14_14220,yejK_1
PA14_14230,group_11693
PA14_14250,group_12392
PA14_14270,group_12121
PA14_14280,gcvA_3
PA14_14290,group_10635
PA14_14300,group_3220
PA14_14310,group_5331
PA14_14320,group_419
PA14_14330,yerA
PA14_14340,rlmF
PA14_14360,group_11312
PA14_14370,ecfA2
PA14_14380,group_10909
PA14_14390,group_10351
PA14_14400,group_3033
PA14_14420,group_420
PA14_14430,group_1086
PA14_14440,valS
PA14_14450,group_2143
PA14_14460,holC
PA14_14470,pepA
PA14_14480,nimR_3
PA14_14490,aidA
PA14_14500,lptF
PA14_14510,lptG
PA14_14520,group_2148
PA14_14530,group_623
PA14_14540,group_7966
PA14_14550,group_7967
PA14_14560,group_7968
PA14_14590,queA
PA14_14600,tgt
PA14_14610,yajC
PA14_14630,secD_1
PA14_14650,secF
PA14_14660,group_11110
PA14_14680,suhB
PA14_14690,trmJ
PA14_14700,cysE
PA14_14710,iscR
PA14_14730,iscS_1
PA14_14740,iscU
PA14_14750,iscA
